white,FFFFFF
light yellow,EAE257
yellow,F3E705
dark yellow,F9D102
dark orange,FDBB16
orange,FD790D
vermillion,EA320C
carmine red,CA1306
carmine red,AB1518
beige,F4B18F
pink,F67A9C
red violet,A081C4
light violet,944A7E
bordeaux red,7F252F
violet,541F6D
blue violet,1D105D
delft blue,3D2729
ice blue,ABBFC0
sky blue,6B9DA8
light blue,3A76A7
mountain blue,6470AC
phthalo blue,495467
cobalt dark,23416F
dark blue,1D396B
cobalt blue,172089
prussian blue,0B2461
pea green,53B1A0
bice green,65DB26
may green,07B518
olive green light,478136
dark olive green,657612
dark grass green,007D67
grass green,1F8023
dark green,0B4432
blue green,075876
gold,D6B96F
gold ochre,FDAE05
dark ochre,D59E5B
indian red,A73A1D
light brown,96543A
brown,604331
dark brown,461D11
brunt umber,534032
grey,7E7579
silver,AFA0A3
steel grey,6B7984
medium grey,786F7B
black,000000